Embedding,Accuracy,Weighted F1,Dims,Train,Test
raw,0.9604795737122558,0.9600547002939849,18819,9032,2252
PCA256,0.94449378330373,0.9454766150816293,256,9032,2252
tcga_mlp,0.9382770870337478,0.9375258288041834,256,9032,2252
BulkFM-MASK-CONT-31,0.9187388987566607,0.9145669627104698,256,9032,2252
BulkFormer-50M,0.91651865008881,0.9135071635630639,256,9032,2252
BulkFM-MASK-CONT-15,0.9134103019538188,0.9095809227016776,256,9032,2252
BulkFM-FULL-30,0.9098579040852576,0.9051897001244794,256,9032,2252
BulkFM-MASK-CONT-30,0.9049733570159858,0.9004603555851484,256,9032,2252
BulkFM-MASK-CONT-75,0.9045293072824157,0.8994957001694706,256,9032,2252
BulkFM-MASK-SIN-30,0.9009769094138543,0.8970678455461129,256,9032,2252
BulkFM-FULL-VAR,0.8987566607460036,0.8926636192526153,256,9032,2252
BulkFM-SAMPLE,0.8858792184724689,0.8790710971814725,256,9032,2252
BulkFM-MASK-BIN-15,0.7846358792184724,0.7808863437874457,256,9032,2252
