Method,Global PCC,Per-gene PCC,Per-sample PCC,MSE
BulkFM-FULL-30,0.97241104,0.811397135257721,0.9718753695487976,0.15607626736164093
BulkFM-FULL-VAR,0.9715926,0.8060627579689026,0.9710369110107422,0.16063785552978516
BulkFM-MASK-BIN-15,0.94384336,0.6177786588668823,0.9468166828155518,0.31309249997138977
BulkFM-MASK-CONT-15,0.9724699,0.8098186254501343,0.9718953371047974,0.15573827922344208
BulkFM-MASK-CONT-30,0.972745,0.8120855689048767,0.9721857309341431,0.1541990041732788
BulkFM-MASK-CONT-31,0.9728759,0.8123559951782227,0.9723175764083862,0.15346397459506989
BulkFM-MASK-CONT-75,0.9707178,0.8008702993392944,0.9701221585273743,0.16550147533416748
BulkFM-MASK-SIN-30,0.97213316,0.8081357479095459,0.9716324210166931,0.15762323141098022
BulkFM-SAMPLE,0.9699716,0.7953368425369263,0.9700549244880676,0.16964714229106903
BulkFormer-50M,0.9712279,0.8028961420059204,0.9707000851631165,0.1626499742269516
PCA256,0.9828124,0.8870277404785156,0.9826266765594482,0.0977414920926094
tcga_mlp,0.9760448,0.8282545804977417,0.9758599996566772,0.13575781881809235
