gene_id,gene_symbol,exon_length_bp
ENSMUSG00000000001,Gnai3,16252
ENSMUSG00000000003,Pbsn,2612
ENSMUSG00000000028,Cdc45,17498
ENSMUSG00000000037,Scml2,163253
ENSMUSG00000000049,Apoh,6660
ENSMUSG00000000056,Narf,42347
ENSMUSG00000000058,Cav2,11379
ENSMUSG00000000078,Klf6,8447
ENSMUSG00000000085,Scmh1,10502
ENSMUSG00000000088,Cox5a,7533
ENSMUSG00000000093,Tbx2,7105
ENSMUSG00000000094,Tbx4,18637
ENSMUSG00000000103,Zfy2,5822
ENSMUSG00000000120,Ngfr,3446
ENSMUSG00000000125,Wnt3,3146
ENSMUSG00000000126,Wnt9a,14731
ENSMUSG00000000127,Fer,154141
ENSMUSG00000000131,Xpo6,52179
ENSMUSG00000000134,Tfe3,55267
ENSMUSG00000000142,Axin2,28521
ENSMUSG00000000148,Brat1,55051
ENSMUSG00000000149,Gna12,18234
ENSMUSG00000000154,Slc22a18,10251
ENSMUSG00000000157,Itgb2l,5490
ENSMUSG00000000159,Igsf5,15400
ENSMUSG00000000167,Pih1d2,2915
ENSMUSG00000000168,Dlat,95340
ENSMUSG00000000171,Sdhd,7419
ENSMUSG00000000182,Fgf23,2698
ENSMUSG00000000183,Fgf6,4657
ENSMUSG00000000184,Ccnd2,15492
ENSMUSG00000000194,Gpr107,77381
ENSMUSG00000000197,Nalcn,94028
ENSMUSG00000000202,Btbd17,10857
ENSMUSG00000000204,Slfn4,10679
ENSMUSG00000000214,Th,56958
ENSMUSG00000000215,Ins2,7146
ENSMUSG00000000216,Scnn1g,6233
ENSMUSG00000000223,Drp2,89092
ENSMUSG00000000244,Tspan32,19051
ENSMUSG00000000247,Lhx2,10624
ENSMUSG00000000248,Clec2g,10245
ENSMUSG00000000253,Gmpr,118373
ENSMUSG00000000263,Glra1,7397
ENSMUSG00000000266,Mid2,26037
ENSMUSG00000000275,Trim25,34262
ENSMUSG00000000276,Dgke,68139
ENSMUSG00000000278,Scpep1,20005
ENSMUSG00000000282,Mnt,15506
ENSMUSG00000000290,Itgb2,11881
ENSMUSG00000000295,Hddc2,4297
ENSMUSG00000000296,Tpd52l1,14959
ENSMUSG00000000301,Pemt,15369
ENSMUSG00000000303,Cdh1,13302
ENSMUSG00000000305,Cdh4,7688
ENSMUSG00000000308,Ckmt1,31377
ENSMUSG00000000317,Bcl6b,11507
ENSMUSG00000000318,Clec10a,7815
ENSMUSG00000000320,Alox12,5327
ENSMUSG00000000326,Comt,38972
ENSMUSG00000000339,Rtca,13598
ENSMUSG00000000340,Dbt,13396
ENSMUSG00000000346,Dazap2,8116
ENSMUSG00000000355,Mcts1,7164
ENSMUSG00000000359,Rem1,36305
ENSMUSG00000000365,Rnf17,52230
ENSMUSG00000000374,Trappc10,15152
ENSMUSG00000000378,Ccm2,29282
ENSMUSG00000000381,Wap,551
ENSMUSG00000000384,Tbrg4,46125
ENSMUSG00000000385,Tmprss2,6289
ENSMUSG00000000386,Mx1,10366
ENSMUSG00000000392,Fap,12168
ENSMUSG00000000394,Gcg,3334
ENSMUSG00000000399,Ndufa9,14522
ENSMUSG00000000402,Egfl6,21093
ENSMUSG00000000409,Lck,10627
ENSMUSG00000000411,Tssk3,2189
ENSMUSG00000000416,Cttnbp2,5183
ENSMUSG00000000420,Galnt1,111302
ENSMUSG00000000435,Myf5,2083
ENSMUSG00000000439,Mkrn2,29195
ENSMUSG00000000440,Pparg,87259
ENSMUSG00000000441,Raf1,60524
ENSMUSG00000000486,Septin1,22490
ENSMUSG00000000489,Pdgfb,15497
ENSMUSG00000000530,Acvrl1,53210
ENSMUSG00000000531,Tamalin,21455
ENSMUSG00000000532,Acvr1b,17415
ENSMUSG00000000538,Tom1l2,90497
ENSMUSG00000000544,Gpa33,11844
ENSMUSG00000000552,Zfp385a,9106
ENSMUSG00000000555,Itga5,34259
ENSMUSG00000000560,Gabra2,83193
ENSMUSG00000000561,Wdr77,24988
ENSMUSG00000000562,Adora3,3589
ENSMUSG00000000563,Atp5pb,23502
ENSMUSG00000000567,Sox9,4176
ENSMUSG00000000568,Hnrnpd,79972
ENSMUSG00000000579,Dynlt1c,7229
ENSMUSG00000000581,C1d,46619
ENSMUSG00000000594,Gm2a,8192
ENSMUSG00000000600,Krit1,116612
ENSMUSG00000000605,Clcn4,174858
ENSMUSG00000000606,Vmn2r88,39725
ENSMUSG00000000617,Grm6,8650
ENSMUSG00000000627,Sema4f,30264
ENSMUSG00000000628,Hk2,26081
ENSMUSG00000000631,Myo18a,232320
ENSMUSG00000000632,Sez6,29543
ENSMUSG00000000673,Haao,4223
ENSMUSG00000000682,Cd52,1512
ENSMUSG00000000686,Abhd15,6312
ENSMUSG00000000690,Hoxb6,5483
ENSMUSG00000000693,Loxl3,32059
ENSMUSG00000000701,Tcl1b5,1055
ENSMUSG00000000706,Btn1a1,4526
ENSMUSG00000000708,Kat2b,40993
ENSMUSG00000000711,Rab5b,62888
ENSMUSG00000000724,Cryba1,789
ENSMUSG00000000730,Dnmt3l,20349
ENSMUSG00000000731,Aire,23222
ENSMUSG00000000732,Icosl,10627
ENSMUSG00000000738,Spg7,80312
ENSMUSG00000000739,Sult5a1,11879
ENSMUSG00000000740,Rpl13,7154
ENSMUSG00000000743,Chmp1a,17075
ENSMUSG00000000751,Rpa1,68440
ENSMUSG00000000753,Serpinf1,31695
ENSMUSG00000000759,Tubgcp3,51033
ENSMUSG00000000766,Oprm1,28547
ENSMUSG00000000776,Polr3d,19610
ENSMUSG00000000782,Tcf7,47370
ENSMUSG00000000787,Ddx3x,20780
ENSMUSG00000000791,Il12rb1,9879
ENSMUSG00000000792,Slc5a5,2929
ENSMUSG00000000794,Kcnn3,2895
ENSMUSG00000000804,Usp32,19728
ENSMUSG00000000805,Car4,15384
ENSMUSG00000000811,Txnrd3,19109
ENSMUSG00000000817,Fasl,2354
ENSMUSG00000000823,Zfp512b,21396
ENSMUSG00000000826,Dnajc5,135106
ENSMUSG00000000827,Tpd52l2,100740
ENSMUSG00000000838,Fmr1,122252
ENSMUSG00000000861,Bcl11a,30739
ENSMUSG00000000869,Il4,1725
ENSMUSG00000000876,Pxmp4,8952
ENSMUSG00000000881,Dlg3,47859
ENSMUSG00000000884,Gnb1l,39380
ENSMUSG00000000889,Dbh,35232
ENSMUSG00000000901,Mmp11,8551
ENSMUSG00000000902,Smarcb1,14328
ENSMUSG00000000903,Vpreb3,2546
ENSMUSG00000000915,Hip1r,33778
ENSMUSG00000000916,Nsun5,22435
ENSMUSG00000000934,Top1mt,35204
ENSMUSG00000000938,Hoxa10,7331
ENSMUSG00000000942,Hoxa4,1594
ENSMUSG00000000948,Gm38393,1199
ENSMUSG00000000957,Mmp14,8971
ENSMUSG00000000958,Slc7a7,178489
ENSMUSG00000000959,Oxa1l,14220
ENSMUSG00000000976,Heatr6,31219
ENSMUSG00000000982,Ccl3,776
ENSMUSG00000000983,Wfdc18,521
ENSMUSG00000001014,Icam4,3789
ENSMUSG00000001016,Ilf2,16309
ENSMUSG00000001017,Chtop,23720
ENSMUSG00000001018,Snapin,7415
ENSMUSG00000001020,S100a4,4260
ENSMUSG00000001021,S100a3,2943
ENSMUSG00000001023,S100a5,1918
ENSMUSG00000001025,S100a6,7186
ENSMUSG00000001027,Scn4a,35679
ENSMUSG00000001029,Icam2,31964
ENSMUSG00000001034,Mapk7,39665
ENSMUSG00000001036,Epn2,283536
ENSMUSG00000001039,B9d1,8329
ENSMUSG00000001052,Sec24b,35170
ENSMUSG00000001053,N4bp3,109746
ENSMUSG00000001054,Rmnd5b,40595
ENSMUSG00000001056,Nhp2,4882
ENSMUSG00000001062,Vps9d1,62171
ENSMUSG00000001065,Zfp276,52824
ENSMUSG00000001076,C1ql4,2086
ENSMUSG00000001082,Mfsd10,12932
ENSMUSG00000001089,Luzp1,96440
ENSMUSG00000001095,Slc13a2,3584
ENSMUSG00000001098,Kctd10,22063
ENSMUSG00000001100,Poldip2,29413
ENSMUSG00000001103,Sebox,2651
ENSMUSG00000001105,Ift20,16602
ENSMUSG00000001119,Col6a1,4100
ENSMUSG00000001120,Pcbp3,438843
ENSMUSG00000001123,Lgals9,9278
ENSMUSG00000001127,Araf,90782
ENSMUSG00000001128,Cfp,4725
ENSMUSG00000001131,Timp1,6960
ENSMUSG00000001134,Uxt,7986
ENSMUSG00000001138,Cnnm3,30550
ENSMUSG00000001143,Lman2l,74652
ENSMUSG00000001150,Mcm3ap,62046
ENSMUSG00000001151,Pcnt,146565
ENSMUSG00000001155,Ftcd,7436
ENSMUSG00000001156,Mxd1,18692
ENSMUSG00000001157,Gmcl1,56659
ENSMUSG00000001158,Snrnp27,37219
ENSMUSG00000001166,Oas1c,2291
ENSMUSG00000001168,Oas1h,3016
ENSMUSG00000001173,Ocrl,79041
ENSMUSG00000001175,Calm1,32285
ENSMUSG00000001211,Agpat3,329483
ENSMUSG00000001225,Slc26a3,2908
ENSMUSG00000001227,Sema6b,41474
ENSMUSG00000001228,Uhrf1,125087
ENSMUSG00000001229,Dpp9,108472
ENSMUSG00000001240,Ramp2,12538
ENSMUSG00000001247,Lsr,21436
ENSMUSG00000001248,Gramd1a,24420
ENSMUSG00000001249,Hpn,23607
ENSMUSG00000001260,Gabrg1,22465
ENSMUSG00000001270,Ckb,21935
ENSMUSG00000001280,Sp1,29525
ENSMUSG00000001281,Itgb7,8153
ENSMUSG00000001285,Myg1,5747
ENSMUSG00000001288,Rarg,15139
ENSMUSG00000001289,Pfdn5,6012
ENSMUSG00000001300,Efnb2,5008
ENSMUSG00000001305,Rrp15,2923
ENSMUSG00000001313,Rnd2,2712
ENSMUSG00000001323,Srr,117122
ENSMUSG00000001333,Sync,17098
ENSMUSG00000001334,Fndc5,27431
ENSMUSG00000001348,Acp5,21073
ENSMUSG00000001349,Cnn1,6095
ENSMUSG00000001366,Fbxo9,5211
ENSMUSG00000001376,Vps50,89191
ENSMUSG00000001380,Hars1,16951
ENSMUSG00000001383,Zmat2,6858
ENSMUSG00000001403,Ube2c,4043
ENSMUSG00000001415,Smg5,39544
ENSMUSG00000001416,Cct3,31463
ENSMUSG00000001418,Glmp,30421
ENSMUSG00000001419,Mef2d,179442
ENSMUSG00000001420,Tmem79,16354
ENSMUSG00000001424,Snd1,56431
ENSMUSG00000001435,Col18a1,22937
ENSMUSG00000001436,Slc19a1,45098
ENSMUSG00000001440,Kpnb1,12613
ENSMUSG00000001441,Npepps,76398
ENSMUSG00000001444,Tbx21,2489
ENSMUSG00000001445,Mrpl10,10456
ENSMUSG00000001467,Cyp51,28935
ENSMUSG00000001472,Tcf25,116132
ENSMUSG00000001473,Tubb6,13645
ENSMUSG00000001482,Def8,121330
ENSMUSG00000001493,Meox1,4489
ENSMUSG00000001494,Sost,2072
ENSMUSG00000001496,Nkx2-1,5245
ENSMUSG00000001497,Pax9,8523
ENSMUSG00000001504,Irx2,2658
ENSMUSG00000001506,Col1a1,99968
ENSMUSG00000001507,Itga3,33650
ENSMUSG00000001508,Sgca,7408
ENSMUSG00000001510,Dlx3,2615
ENSMUSG00000001517,Foxm1,31837
ENSMUSG00000001518,Itfg2,24357
ENSMUSG00000001520,Nrip2,15256
ENSMUSG00000001521,Tulp3,5545
ENSMUSG00000001524,Gtf2h4,13508
