,gene name,length
0,5S_rRNA,1021
1,5_8S_rRNA,911
2,7SK,1870
3,A1BG,3399
4,A1BG-AS1,2793
5,A1CF,15515
6,A2M,4969
7,A2M-AS1,2930
8,A2ML1,5298
9,A2ML1-AS1,452
10,A2ML1-AS2,386
11,A2MP1,4383
12,A3GALT2,1023
13,A4GALT,7800
14,A4GNT,2591
15,AA06,1241
16,AAAS,2904
17,AACS,3344
18,AACSP1,3372
19,AADAC,2350
20,AADACL2,5060
21,AADACL2-AS1,1040
22,AADACL3,4055
23,AADACL4,2027
24,AADACP1,1837
25,AADAT,3023
26,AAGAB,3430
27,AAK1,22976
28,AAMDC,6077
29,AAMP,2011
30,AANAT,2332
31,AAR2,4937
32,AARD,2291
33,AARS1,4481
34,AARS1P1,453
35,AARS2,4848
36,AARSD1,1468
37,AARSD1P1,1182
38,AASDH,4427
39,AASDHPPT,2828
40,AASDHPPT-AS1,1247
41,AASS,6306
42,AATBC,4874
43,AATF,3033
44,AATK,12318
45,ABALON,1903
46,ABAT,6196
47,ABCA1,11251
48,ABCA10,6362
49,ABCA11P,2374
50,ABCA12,9614
51,ABCA13,17188
52,ABCA15P,556
53,ABCA17P,5864
54,ABCA2,8316
55,ABCA3,7951
56,ABCA3P1,637
57,ABCA4,7657
58,ABCA5,9593
59,ABCA6,11024
60,ABCA7,6815
61,ABCA8,7404
62,ABCA9,6951
63,ABCA9-AS1,1396
64,ABCB1,6046
65,ABCB10,4170
66,ABCB10P1,2181
67,ABCB10P3,2166
68,ABCB10P4,2184
69,ABCB11,6976
70,ABCB4,4846
71,ABCB5,7436
72,ABCB6,3064
73,ABCB7,4610
74,ABCB8,5299
75,ABCB9,7161
76,ABCC1,6965
77,ABCC10,5590
78,ABCC11,6272
79,ABCC12,7877
80,ABCC13,8082
81,ABCC2,6155
82,ABCC3,7196
83,ABCC4,6661
84,ABCC5,10696
85,ABCC5-AS1,469
86,ABCC6,6104
87,ABCC6P1,4639
88,ABCC6P2,3308
89,ABCC8,5404
90,ABCC9,13795
91,ABCD1,4908
92,ABCD1P2,1601
93,ABCD1P3,605
94,ABCD1P4,604
95,ABCD1P5,754
96,ABCD2,6290
97,ABCD3,4163
98,ABCD4,3320
99,ABCE1,3977
100,ABCF1,3555
101,ABCF2,5035
102,ABCF2-H2BK1,2185
103,ABCF2P1,1867
104,ABCF2P2,296
105,ABCF3,2641
106,ABCG1,11770
