gene_id,gene_symbol,chromosome,start,end,exon_length_bp
ENSMUSG00000000001,Gnai3,chr3,108014590,108053469,16252
ENSMUSG00000000003,Pbsn,chrX,76881506,76897229,2612
ENSMUSG00000000028,Cdc45,chr16,18599195,18631551,17498
ENSMUSG00000000037,Scml2,chrX,159865513,160041214,163253
ENSMUSG00000000049,Apoh,chr11,108233964,108305232,6660
ENSMUSG00000000056,Narf,chr11,121127532,121149337,42347
ENSMUSG00000000058,Cav2,chr6,17281026,17289877,11379
ENSMUSG00000000078,Klf6,chr13,5911481,5920393,8447
ENSMUSG00000000085,Scmh1,chr4,120262412,120387384,10502
ENSMUSG00000000088,Cox5a,chr9,57428456,57440678,7533
ENSMUSG00000000093,Tbx2,chr11,85723377,85734115,7105
ENSMUSG00000000094,Tbx4,chr11,85776887,85806923,18637
ENSMUSG00000000103,Zfy2,chrY,2106015,2170409,5822
ENSMUSG00000000120,Ngfr,chr11,95459638,95478561,3446
ENSMUSG00000000125,Wnt3,chr11,103664976,103708853,3146
ENSMUSG00000000126,Wnt9a,chr11,59197567,59224378,14731
ENSMUSG00000000127,Fer,chr17,64169986,64453511,154141
ENSMUSG00000000131,Xpo6,chr7,125699697,125799756,52179
ENSMUSG00000000134,Tfe3,chrX,7628761,7641444,55267
ENSMUSG00000000142,Axin2,chr11,108811169,108841609,28521
ENSMUSG00000000148,Brat1,chr5,140690570,140705134,55051
ENSMUSG00000000149,Gna12,chr5,140744158,140816336,18234
ENSMUSG00000000154,Slc22a18,chr7,143027466,143053072,10251
ENSMUSG00000000157,Itgb2l,chr16,96223488,96244841,5490
ENSMUSG00000000159,Igsf5,chr16,96162812,96223566,15400
ENSMUSG00000000167,Pih1d2,chr9,50528260,50536300,2915
ENSMUSG00000000168,Dlat,chr9,50543457,50571277,95340
ENSMUSG00000000171,Sdhd,chr9,50507642,50515195,7419
ENSMUSG00000000182,Fgf23,chr6,127049865,127059255,2698
ENSMUSG00000000183,Fgf6,chr6,126992549,127005150,4657
ENSMUSG00000000184,Ccnd2,chr6,127102125,127129156,15492
ENSMUSG00000000194,Gpr107,chr2,31042318,31109427,77381
ENSMUSG00000000197,Nalcn,chr14,123513998,123864915,94028
ENSMUSG00000000202,Btbd17,chr11,114655016,114686805,10857
ENSMUSG00000000204,Slfn4,chr11,83066012,83081042,10679
ENSMUSG00000000214,Th,chr7,142443466,142484865,56958
ENSMUSG00000000215,Ins2,chr7,142232393,142297118,7146
ENSMUSG00000000216,Scnn1g,chr7,121333545,121367755,6233
ENSMUSG00000000223,Drp2,chrX,133304876,133357574,89092
ENSMUSG00000000244,Tspan32,chr7,142558783,142573381,19051
ENSMUSG00000000247,Lhx2,chr2,38229293,38259759,10624
ENSMUSG00000000248,Clec2g,chr6,128911344,128961670,10245
ENSMUSG00000000253,Gmpr,chr13,45660889,45707276,118373
ENSMUSG00000000263,Glra1,chr11,55405064,55499422,7397
ENSMUSG00000000266,Mid2,chrX,139565329,139668464,26037
ENSMUSG00000000275,Trim25,chr11,88890202,88911122,34262
ENSMUSG00000000276,Dgke,chr11,88926000,88957676,68139
ENSMUSG00000000278,Scpep1,chr11,88814842,88846291,20005
ENSMUSG00000000282,Mnt,chr11,74721338,74736836,15506
ENSMUSG00000000290,Itgb2,chr10,77366086,77401542,11881
ENSMUSG00000000295,Hddc2,chr10,31189355,31204202,4297
ENSMUSG00000000296,Tpd52l1,chr10,31208364,31322204,14959
ENSMUSG00000000301,Pemt,chr11,59861440,59950424,15369
ENSMUSG00000000303,Cdh1,chr8,107329941,107396880,13302
ENSMUSG00000000305,Cdh4,chr2,179084201,179541166,7688
ENSMUSG00000000308,Ckmt1,chr2,121188195,121195706,31377
ENSMUSG00000000317,Bcl6b,chr11,70113871,70120624,11507
ENSMUSG00000000318,Clec10a,chr11,70047023,70061660,7815
ENSMUSG00000000320,Alox12,chr11,70132283,70146221,5327
ENSMUSG00000000326,Comt,chr16,18225628,18245602,38972
ENSMUSG00000000339,Rtca,chr3,116280811,116301861,13598
ENSMUSG00000000340,Dbt,chr3,116306686,116343633,13396
ENSMUSG00000000346,Dazap2,chr15,100512837,100518646,8116
ENSMUSG00000000355,Mcts1,chrX,37689298,37702404,7164
ENSMUSG00000000359,Rem1,chr2,152468819,152487694,36305
ENSMUSG00000000365,Rnf17,chr14,56640038,56762494,52230
ENSMUSG00000000374,Trappc10,chr10,78021489,78080510,15152
ENSMUSG00000000378,Ccm2,chr11,6496830,6572662,29282
ENSMUSG00000000381,Wap,chr11,6585482,6588637,551
ENSMUSG00000000384,Tbrg4,chr11,6560756,6576081,46125
ENSMUSG00000000385,Tmprss2,chr16,97365882,97412395,6289
ENSMUSG00000000386,Mx1,chr16,97248235,97264107,10366
ENSMUSG00000000392,Fap,chr2,62331286,62404419,12168
ENSMUSG00000000394,Gcg,chr2,62304873,62313997,3334
ENSMUSG00000000399,Ndufa9,chr6,126798684,126826117,14522
ENSMUSG00000000402,Egfl6,chrX,165305994,165368863,21093
ENSMUSG00000000409,Lck,chr4,129442137,129467434,10627
ENSMUSG00000000411,Tssk3,chr4,129382807,129384911,2189
ENSMUSG00000000416,Cttnbp2,chr6,18366477,18514842,5183
ENSMUSG00000000420,Galnt1,chr18,24306618,24435311,111302
ENSMUSG00000000435,Myf5,chr10,107318769,107321995,2083
ENSMUSG00000000439,Mkrn2,chr6,115578863,115603671,29195
ENSMUSG00000000440,Pparg,chr6,115337675,115468268,87259
ENSMUSG00000000441,Raf1,chr6,115595024,115653661,60524
ENSMUSG00000000486,Septin1,chr7,126812948,126832302,22490
ENSMUSG00000000489,Pdgfb,chr15,79880009,79899181,15497
ENSMUSG00000000530,Acvrl1,chr15,101025996,101043217,53210
ENSMUSG00000000531,Tamalin,chr15,101121282,101133129,21455
ENSMUSG00000000532,Acvr1b,chr15,101071921,101111565,17415
ENSMUSG00000000538,Tom1l2,chr11,60117445,60243762,90497
ENSMUSG00000000544,Gpa33,chr1,165957785,165994079,11844
ENSMUSG00000000552,Zfp385a,chr15,103222310,103248568,9106
ENSMUSG00000000555,Itga5,chr15,103252713,103275270,34259
ENSMUSG00000000560,Gabra2,chr5,71114573,71253662,83193
ENSMUSG00000000561,Wdr77,chr3,105866685,105877353,24988
ENSMUSG00000000562,Adora3,chr3,105778174,105816242,3589
ENSMUSG00000000563,Atp5pb,chr3,105849374,105867415,23502
ENSMUSG00000000567,Sox9,chr11,112673009,112678586,4176
ENSMUSG00000000568,Hnrnpd,chr5,100103794,100127029,79972
ENSMUSG00000000579,Dynlt1c,chr17,6869051,6879446,7229
ENSMUSG00000000581,C1d,chr11,17197732,17219198,46619
ENSMUSG00000000594,Gm2a,chr11,54988883,55003855,8192
ENSMUSG00000000600,Krit1,chr5,3852716,3895564,116612
ENSMUSG00000000605,Clcn4,chr7,7284412,7303914,174858
ENSMUSG00000000606,Vmn2r88,chr14,51648277,51658178,39725
ENSMUSG00000000617,Grm6,chr11,50741512,50757035,8650
ENSMUSG00000000627,Sema4f,chr6,82887696,82916761,30264
ENSMUSG00000000628,Hk2,chr6,82699740,82751469,26081
ENSMUSG00000000631,Myo18a,chr11,77654062,77756815,232320
ENSMUSG00000000632,Sez6,chr11,77821626,77869874,29543
ENSMUSG00000000673,Haao,chr17,84138583,84155392,4223
ENSMUSG00000000682,Cd52,chr4,133809759,133822401,1512
ENSMUSG00000000686,Abhd15,chr11,77405931,77429433,6312
ENSMUSG00000000690,Hoxb6,chr11,96183280,96192395,5483
ENSMUSG00000000693,Loxl3,chr6,83011152,83029543,32059
ENSMUSG00000000701,Tcl1b5,chr12,105142603,105147404,1055
ENSMUSG00000000706,Btn1a1,chr13,23641162,23650071,4526
ENSMUSG00000000708,Kat2b,chr17,53873889,53979749,40993
ENSMUSG00000000711,Rab5b,chr10,128512885,128532251,62888
ENSMUSG00000000724,Cryba1,chr11,77609441,77616120,789
ENSMUSG00000000730,Dnmt3l,chr10,77877781,77899456,20349
ENSMUSG00000000731,Aire,chr10,77865321,77879444,23222
ENSMUSG00000000732,Icosl,chr10,77905136,77919747,10627
ENSMUSG00000000738,Spg7,chr8,123789681,123825776,80312
ENSMUSG00000000739,Sult5a1,chr8,123866931,123885779,11879
ENSMUSG00000000740,Rpl13,chr8,123829069,123831992,7154
ENSMUSG00000000743,Chmp1a,chr8,123931003,123939528,17075
ENSMUSG00000000751,Rpa1,chr11,75188992,75239455,68440
ENSMUSG00000000753,Serpinf1,chr11,75299998,75322362,31695
ENSMUSG00000000759,Tubgcp3,chr8,12664275,12722248,51033
ENSMUSG00000000766,Oprm1,chr10,6708506,6988198,28547
ENSMUSG00000000776,Polr3d,chr14,70674292,70680911,19610
ENSMUSG00000000782,Tcf7,chr11,52143107,52174619,47370
ENSMUSG00000000787,Ddx3x,chrX,13146705,13160293,20780
ENSMUSG00000000791,Il12rb1,chr8,71261093,71276183,9879
ENSMUSG00000000792,Slc5a5,chr8,71335533,71345402,2929
ENSMUSG00000000794,Kcnn3,chr3,89427460,89582439,2895
ENSMUSG00000000804,Usp32,chr11,84875265,85030987,19728
ENSMUSG00000000805,Car4,chr11,84848020,84856879,15384
ENSMUSG00000000811,Txnrd3,chr6,89620934,89652512,19109
ENSMUSG00000000817,Fasl,chr1,161608258,161616075,2354
ENSMUSG00000000823,Zfp512b,chr2,181223895,181234700,21396
ENSMUSG00000000826,Dnajc5,chr2,181161759,181196926,135106
ENSMUSG00000000827,Tpd52l2,chr2,181138921,181160103,100740
ENSMUSG00000000838,Fmr1,chrX,67722124,67761578,122252
ENSMUSG00000000861,Bcl11a,chr11,24027941,24124123,30739
ENSMUSG00000000869,Il4,chr11,53493809,53509496,1725
ENSMUSG00000000876,Pxmp4,chr2,154427678,154445656,8952
ENSMUSG00000000881,Dlg3,chrX,99810768,99862016,47859
ENSMUSG00000000884,Gnb1l,chr16,18317463,18388985,39380
ENSMUSG00000000889,Dbh,chr2,27055245,27074212,35232
ENSMUSG00000000901,Mmp11,chr10,75759055,75772330,8551
ENSMUSG00000000902,Smarcb1,chr10,75732602,75757456,14328
ENSMUSG00000000903,Vpreb3,chr10,75778891,75785496,2546
ENSMUSG00000000915,Hip1r,chr5,124111649,124143632,33778
ENSMUSG00000000916,Nsun5,chr5,135398770,135405816,22435
ENSMUSG00000000934,Top1mt,chr15,75527333,75550660,35204
ENSMUSG00000000938,Hoxa10,chr6,52208164,52217834,7331
ENSMUSG00000000942,Hoxa4,chr6,52166651,52168733,1594
ENSMUSG00000000948,Gm38393,chr7,59623897,59654812,1199
ENSMUSG00000000957,Mmp14,chr14,54668878,54682821,8971
ENSMUSG00000000958,Slc7a7,chr14,54606895,54655603,178489
ENSMUSG00000000959,Oxa1l,chr14,54598271,54608870,14220
ENSMUSG00000000976,Heatr6,chr11,83644516,83677667,31219
ENSMUSG00000000982,Ccl3,chr11,83538670,83540191,776
ENSMUSG00000000983,Wfdc18,chr11,83599841,83602174,521
ENSMUSG00000001014,Icam4,chr9,20940669,20941891,3789
ENSMUSG00000001016,Ilf2,chr3,90383412,90395686,16309
ENSMUSG00000001017,Chtop,chr3,90405832,90416835,23720
ENSMUSG00000001018,Snapin,chr3,90389745,90398340,7415
ENSMUSG00000001020,S100a4,chr3,90511074,90513354,4260
ENSMUSG00000001021,S100a3,chr3,90491966,90510009,2943
ENSMUSG00000001023,S100a5,chr3,90515805,90519087,1918
ENSMUSG00000001025,S100a6,chr3,90520140,90535843,7186
ENSMUSG00000001027,Scn4a,chr11,106208370,106256385,35679
ENSMUSG00000001029,Icam2,chr11,106263312,106278943,31964
ENSMUSG00000001034,Mapk7,chr11,61379638,61385620,39665
ENSMUSG00000001036,Epn2,chr11,61406710,61470583,283536
ENSMUSG00000001039,B9d1,chr11,61395741,61425998,8329
ENSMUSG00000001052,Sec24b,chr3,129776408,129855202,35170
ENSMUSG00000001053,N4bp3,chr11,51529715,51542173,109746
ENSMUSG00000001054,Rmnd5b,chr11,51514490,51526830,40595
ENSMUSG00000001056,Nhp2,chr11,51510383,51520806,4882
ENSMUSG00000001062,Vps9d1,chr8,123968099,123981784,62171
ENSMUSG00000001065,Zfp276,chr8,123980290,124000361,52824
ENSMUSG00000001076,C1ql4,chr15,98981967,98986310,2086
ENSMUSG00000001082,Mfsd10,chr5,34790986,34794560,12932
ENSMUSG00000001089,Luzp1,chr4,136197067,136290808,96440
ENSMUSG00000001095,Slc13a2,chr11,78287913,78313060,3584
ENSMUSG00000001098,Kctd10,chr5,114501628,114518606,22063
ENSMUSG00000001100,Poldip2,chr11,78402979,78415068,29413
ENSMUSG00000001103,Sebox,chr11,78394273,78395907,2651
ENSMUSG00000001105,Ift20,chr11,78426693,78432563,16602
ENSMUSG00000001119,Col6a1,chr10,76543440,76562283,4100
ENSMUSG00000001120,Pcbp3,chr10,76593536,76797951,438843
ENSMUSG00000001123,Lgals9,chr11,78853800,78875798,9278
ENSMUSG00000001127,Araf,chrX,20664012,20726772,90782
ENSMUSG00000001128,Cfp,chrX,20791688,20797794,4725
ENSMUSG00000001131,Timp1,chrX,20736316,20740976,6960
ENSMUSG00000001134,Uxt,chrX,20807961,20828416,7986
ENSMUSG00000001138,Cnnm3,chr1,36550884,36567318,30550
ENSMUSG00000001143,Lman2l,chr1,36457876,36484440,74652
ENSMUSG00000001150,Mcm3ap,chr10,76298875,76351702,62046
ENSMUSG00000001151,Pcnt,chr10,76186841,76278706,146565
ENSMUSG00000001155,Ftcd,chr10,76411475,76426245,7436
ENSMUSG00000001156,Mxd1,chr6,86624024,86646218,18692
ENSMUSG00000001157,Gmcl1,chr6,86665597,86710374,56659
ENSMUSG00000001158,Snrnp27,chr6,86648676,86661511,37219
ENSMUSG00000001166,Oas1c,chr5,120938259,120950579,2291
ENSMUSG00000001168,Oas1h,chr5,120999483,121011569,3016
ENSMUSG00000001173,Ocrl,chrX,47001264,47055310,79041
ENSMUSG00000001175,Calm1,chr12,100165694,100176081,32285
ENSMUSG00000001211,Agpat3,chr10,78105003,78208987,329483
ENSMUSG00000001225,Slc26a3,chr12,31440870,31523916,2908
ENSMUSG00000001227,Sema6b,chr17,56430078,56449459,41474
ENSMUSG00000001228,Uhrf1,chr17,56610275,56630489,125087
ENSMUSG00000001229,Dpp9,chr17,56493366,56525924,108472
ENSMUSG00000001240,Ramp2,chr11,101136358,101150419,12538
ENSMUSG00000001247,Lsr,chr7,30657195,30673340,21436
ENSMUSG00000001248,Gramd1a,chr7,30829551,30855392,24420
ENSMUSG00000001249,Hpn,chr7,30798150,30815590,23607
ENSMUSG00000001260,Gabrg1,chr5,70906506,70999960,22465
ENSMUSG00000001270,Ckb,chr12,111635789,111639008,21935
ENSMUSG00000001280,Sp1,chr15,102314578,102344839,29525
ENSMUSG00000001281,Itgb7,chr15,102124429,102140379,8153
ENSMUSG00000001285,Myg1,chr15,102240141,102246687,5747
ENSMUSG00000001288,Rarg,chr15,102143373,102165952,15139
ENSMUSG00000001289,Pfdn5,chr15,102234551,102241468,6012
ENSMUSG00000001300,Efnb2,chr8,8667226,8711249,5008
ENSMUSG00000001305,Rrp15,chr1,186448398,186481555,2923
ENSMUSG00000001313,Rnd2,chr11,101355825,101362679,2712
ENSMUSG00000001323,Srr,chr11,74794843,74818350,117122
ENSMUSG00000001333,Sync,chr4,129181092,129204334,17098
ENSMUSG00000001334,Fndc5,chr4,129030397,129041865,27431
ENSMUSG00000001348,Acp5,chr9,22038023,22049355,21073
ENSMUSG00000001349,Cnn1,chr9,22010512,22020926,6095
ENSMUSG00000001366,Fbxo9,chr9,77988763,78016349,5211
ENSMUSG00000001376,Vps50,chr6,3498382,3603531,89191
ENSMUSG00000001380,Hars1,chr18,36899580,36916258,16951
ENSMUSG00000001383,Zmat2,chr18,36926886,36933031,6858
ENSMUSG00000001403,Ube2c,chr2,164611768,164620742,4043
ENSMUSG00000001415,Smg5,chr3,88243555,88269646,39544
ENSMUSG00000001416,Cct3,chr3,88204289,88230423,31463
ENSMUSG00000001418,Glmp,chr3,88232330,88238620,30421
ENSMUSG00000001419,Mef2d,chr3,88049185,88079398,179442
ENSMUSG00000001420,Tmem79,chr3,88235960,88243852,16354
ENSMUSG00000001424,Snd1,chr6,28475138,28935161,56431
ENSMUSG00000001435,Col18a1,chr10,76888012,77002390,22937
ENSMUSG00000001436,Slc19a1,chr10,76868075,76896836,45098
ENSMUSG00000001440,Kpnb1,chr11,97050540,97078856,12613
ENSMUSG00000001441,Npepps,chr11,97096668,97171528,76398
ENSMUSG00000001444,Tbx21,chr11,96988897,97006158,2489
ENSMUSG00000001445,Mrpl10,chr11,96932369,96940044,10456
ENSMUSG00000001467,Cyp51,chr5,4123416,4154751,28935
ENSMUSG00000001472,Tcf25,chr8,124100305,124132338,116132
ENSMUSG00000001473,Tubb6,chr18,67523585,67536773,13645
ENSMUSG00000001482,Def8,chr8,124150266,124194194,121330
ENSMUSG00000001493,Meox1,chr11,101768336,101785227,4489
ENSMUSG00000001494,Sost,chr11,101853284,101857847,2072
ENSMUSG00000001496,Nkx2-1,chr12,56578742,56583722,5245
ENSMUSG00000001497,Pax9,chr12,56738552,56759607,8523
ENSMUSG00000001504,Irx2,chr13,72776906,72782317,2658
ENSMUSG00000001506,Col1a1,chr11,94827050,94843868,99968
ENSMUSG00000001507,Itga3,chr11,94935296,94967682,33650
ENSMUSG00000001508,Sgca,chr11,94853605,94867273,7408
ENSMUSG00000001510,Dlx3,chr11,95010937,95016122,2615
ENSMUSG00000001517,Foxm1,chr6,128339518,128353147,31837
ENSMUSG00000001518,Itfg2,chr6,128380933,128401900,24357
ENSMUSG00000001520,Nrip2,chr6,128374747,128393390,15256
ENSMUSG00000001521,Tulp3,chr6,128298104,128332821,5545
ENSMUSG00000001524,Gtf2h4,chr17,35978621,35984648,13508
ENSMUSG00000001525,Tubb5,chr17,36144809,36149198,17946
ENSMUSG00000001542,Ell2,chr13,75854876,75920483,17376
ENSMUSG00000001552,Jup,chr11,100259784,100291103,70843
ENSMUSG00000001555,Fkbp10,chr11,100305808,100315669,21392
ENSMUSG00000001558,Klhl10,chr11,100331933,100347851,6990
ENSMUSG00000001566,Mnx1,chr5,29678032,29683636,2413
ENSMUSG00000001569,Nom1,chr5,29639662,29662841,23180
ENSMUSG00000001576,Ergic1,chr17,26780436,26875908,27376
ENSMUSG00000001583,Tnk1,chr11,69741820,69749595,10209
ENSMUSG00000001588,Acap1,chr11,69772392,69786367,7414
ENSMUSG00000001604,Tcea3,chr4,135975040,136005152,88900
ENSMUSG00000001622,Csn3,chr5,88073438,88080524,3929
ENSMUSG00000001627,Ifrd1,chr12,40251561,40298503,15975
ENSMUSG00000001630,Stk38l,chr6,146626428,146688073,31721
ENSMUSG00000001632,Brpf1,chr6,113283799,113301824,60213
ENSMUSG00000001642,Akr1b1,chr6,34279369,34294434,3627
ENSMUSG00000001655,Hoxc13,chr15,102829538,102837249,2461
ENSMUSG00000001656,Hoxc11,chr15,102862862,102866143,2021
ENSMUSG00000001657,Hoxc8,chr15,102898851,102902543,4021
ENSMUSG00000001661,Hoxc6,chr15,102906689,102920315,3364
ENSMUSG00000001663,Gstt1,chr10,75618994,75634445,9615
ENSMUSG00000001665,Gstt3,chr10,75609940,75617256,7360
ENSMUSG00000001666,Ddt,chr10,75607060,75609268,4700
ENSMUSG00000001670,Tat,chr8,110717063,110726435,2381
ENSMUSG00000001672,Marveld3,chr8,110674542,110688845,6353
ENSMUSG00000001674,Ddx18,chr1,121481564,121495718,13890
ENSMUSG00000001687,Ubl3,chr5,148441407,148489975,26073
ENSMUSG00000001700,Gramd2b,chr18,56533409,56636865,18377
ENSMUSG00000001707,Eef1e1,chr13,38828183,38843034,10255
ENSMUSG00000001729,Akt1,chr12,112620248,112645654,80790
ENSMUSG00000001739,Cldn15,chr5,136995470,137004712,9528
ENSMUSG00000001741,Il16,chr7,83292016,83395370,19340
ENSMUSG00000001750,Tcirg1,chr19,3946050,3957917,36719
ENSMUSG00000001751,Naglu,chr11,100960838,100968517,14199
ENSMUSG00000001755,Coasy,chr11,100973391,100977446,14197
ENSMUSG00000001761,Smo,chr6,29735407,29762532,9922
ENSMUSG00000001763,Tspan33,chr6,29694187,29719368,28234
ENSMUSG00000001767,Crnkl1,chr2,145755762,145776934,42144
ENSMUSG00000001768,Rin2,chr2,145517135,145729609,39744
ENSMUSG00000001773,Folh1,chr7,86367992,86425186,14064
ENSMUSG00000001774,Chordc1,chr9,18203387,18228746,48153
ENSMUSG00000001783,Rtcb,chr10,85774488,85793700,32915
ENSMUSG00000001785,Pwp1,chr10,85665210,85726030,20701
ENSMUSG00000001786,Fbxo7,chr10,85857690,85887737,48700
ENSMUSG00000001794,Capns1,chr7,29886361,29898304,10538
ENSMUSG00000001802,Lrp3,chr7,34899194,34915139,21764
ENSMUSG00000001804,Dsg4,chr18,20569232,20604878,3478
ENSMUSG00000001815,Evx2,chr2,74483335,74489901,5619
ENSMUSG00000001819,Hoxd13,chr2,74498654,74501943,2483
ENSMUSG00000001823,Hoxd12,chr2,74505357,74508049,2534
ENSMUSG00000001827,Folr1,chr7,101507537,101520014,37996
ENSMUSG00000001829,Clpb,chr7,101312840,101444815,98426
ENSMUSG00000001833,Septin7,chr9,25163735,25221732,13086
ENSMUSG00000001844,Zdhhc4,chr5,143301657,143315011,41136
ENSMUSG00000001847,Rac1,chr5,143489389,143514493,25141
ENSMUSG00000001855,Nup214,chr2,31864426,31943987,17473
ENSMUSG00000001864,Aif1l,chr2,31840151,31863457,9339
ENSMUSG00000001865,Cpa3,chr3,20269774,20296362,5195
ENSMUSG00000001870,Ltbp1,chr17,75312519,75699507,29760
ENSMUSG00000001891,Ugp2,chr11,21270384,21321276,31822
ENSMUSG00000001901,Kcnh6,chr11,105898950,105926438,8801
ENSMUSG00000001909,Trmt1,chr8,85412915,85427550,48567
ENSMUSG00000001910,Nacc1,chr8,85396326,85416468,62409
ENSMUSG00000001911,Nfix,chr8,85426505,85527046,52140
ENSMUSG00000001918,Slc1a5,chr7,16515265,16532731,26587
ENSMUSG00000001924,Uba1,chrX,20524493,20549418,174276
ENSMUSG00000001930,Vwf,chr6,125523737,125663642,30020
ENSMUSG00000001942,Siae,chr9,37466994,37561535,13142
